constructor,points,position,wins
Haas F1 Team,12.0,10,0
Red Bull,860.0,1,21
Aston Martin,280.0,5,0
Ferrari,406.0,3,1
Mercedes,409.0,2,0
Alfa Romeo,16.0,9,0
Alpine F1 Team,120.0,6,0
Williams,28.0,7,0
AlphaTauri,25.0,8,0
McLaren,302.0,4,0
