constructor,points,position,wins
Williams,17.0,9,0
Red Bull,589.0,3,9
Ferrari,652.0,2,5
Mercedes,468.0,4,4
McLaren,666.0,1,6
Aston Martin,94.0,5,0
Sauber,4.0,10,0
Haas F1 Team,58.0,7,0
RB F1 Team,46.0,8,0
Alpine F1 Team,65.0,6,0
