constructor,points,position,wins
McLaren,159.0,5,0
Ferrari,554.0,2,4
Mercedes,515.0,3,1
Haas F1 Team,37.0,8,0
Alfa Romeo,55.0,6,0
Alpine F1 Team,173.0,4,0
AlphaTauri,35.0,9,0
Aston Martin,55.0,7,0
Williams,8.0,10,0
Red Bull,759.0,1,17
