constructor,points,position,wins
Williams,23.0,8,0
Mercedes,613.5,1,9
Red Bull,585.5,2,11
McLaren,275.0,4,1
Ferrari,323.5,3,0
AlphaTauri,142.0,6,0
Aston Martin,77.0,7,0
Alfa Romeo,13.0,9,0
Alpine F1 Team,155.0,5,1
Haas F1 Team,0.0,10,0
